trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
771,False,"{'a': 0.5, 'e': 0.3061963454141346}",25,0,-16.71900130943106,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
772,False,"{'a': 0.5, 'e': 0.3057266772323436}",20,15,6.829914324240904,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.5, 'e': 0.3052577294647715}",20,10,-4.3291925688601545,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
774,False,"{'a': 0.5, 'e': 0.3047895010063898}",30,8,-19.9541818133041,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
775,False,"{'a': 0.5, 'e': 0.3043219907538653}",25,0,-69.70899921915029,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
776,False,"{'a': 0.5, 'e': 0.30385519760555696}",25,15,7.278877189443254,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
777,False,"{'a': 0.5, 'e': 0.30338912046151356}",25,17,1.9592386397963424,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 0.30292375822347123}",20,16,9.016110426347964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.5, 'e': 0.30245910979485047}",25,8,16.573173799558724,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.5, 'e': 0.30199517408075394}",30,18,0.40372771669729035,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.3015319499879637}",25,15,17.618793218551154,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 0.3010694364249386}",20,3,-27.44969242321308,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
783,False,"{'a': 0.5, 'e': 0.30060763230181214}",20,0,-12.177881070337397,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
784,False,"{'a': 0.5, 'e': 0.300146536530389}",25,3,7.596022771263823,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
785,False,"{'a': 0.5, 'e': 0.2996861480241434}",20,8,-10.77260479661889,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
786,False,"{'a': 0.5, 'e': 0.299226465698216}",20,10,4.6853652958519545,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
787,False,"{'a': 0.5, 'e': 0.2987674884694116}",25,16,17.107949167947464,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.5, 'e': 0.2983092152561964}",20,12,4.995873398525543,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
789,False,"{'a': 0.5, 'e': 0.2978516449786956}",25,15,7.672974792328004,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
790,False,"{'a': 0.5, 'e': 0.2973947765586909}",20,0,6.811186965109778,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
791,False,"{'a': 0.5, 'e': 0.2969386089196175}",20,6,6.55057898577241,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
792,False,"{'a': 0.5, 'e': 0.2964831409865624}",25,14,-14.761190600556363,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
793,False,"{'a': 0.5, 'e': 0.296028371686261}",30,0,-15.786100283432447,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
794,False,"{'a': 0.5, 'e': 0.29557429994709516}",20,7,-41.10685994746208,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
795,False,"{'a': 0.5, 'e': 0.2951209246990904}",30,3,-93.83570962443274,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 2}",1
796,False,"{'a': 0.5, 'e': 0.2946682448739134}",25,15,11.621465049325373,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
797,False,"{'a': 0.5, 'e': 0.2942162594048698}",30,0,-54.019699236756466,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
798,False,"{'a': 0.5, 'e': 0.293764967226901}",25,14,-3.9403166149802233,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
799,False,"{'a': 0.5, 'e': 0.29331436727658244}",20,11,19.80115376332256,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.5, 'e': 0.2928644584921205}",25,7,-37.155498026929024,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
801,False,"{'a': 0.5, 'e': 0.2924152398133503}",30,6,-65.69753397075637,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
802,False,"{'a': 0.5, 'e': 0.29196671018173326}",20,2,4.541663871366987,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
803,False,"{'a': 0.5, 'e': 0.29151886854035414}",30,11,29.072390694096054,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
804,False,"{'a': 0.5, 'e': 0.2910717138339193}",25,7,-24.579237769968657,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
805,False,"{'a': 0.5, 'e': 0.2906252450087533}",25,2,5.310362274061014,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
806,False,"{'a': 0.5, 'e': 0.2901794610127974}",30,19,17.17263932567241,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.5, 'e': 0.28973436079560627}",25,5,13.402405154366914,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
808,False,"{'a': 0.5, 'e': 0.28928994330834595}",20,7,18.555646588446457,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.2888462075037913}",25,14,-71.35517879981495,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
810,False,"{'a': 0.5, 'e': 0.28840315233632335}",20,0,-11.163166658135061,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
811,False,"{'a': 0.5, 'e': 0.2879607767619273}",20,13,16.671789224359102,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.5, 'e': 0.2875190797381892}",20,0,-12.397913110825629,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
813,False,"{'a': 0.5, 'e': 0.2870780602242946}",25,6,-11.071276163329948,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
814,False,"{'a': 0.5, 'e': 0.2866377171810252}",20,14,4.480565493350383,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.5, 'e': 0.2861980495707569}",20,16,6.803588156207741,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.5, 'e': 0.2857590563574571}",20,15,3.4360869744971003,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
